,2019_09,COD_REG,DEN_REG,1951_09,1952_09,1953_09,1954_09,1955_09,1956_09,1957_09,1958_09,1959_09,1960_09,1961_09,1962_09,1963_09,1964_09,1965_09,1966_09,1967_09,1968_09,1969_09,1970_09,1971_09,1972_09,1973_09,1974_09,1975_09,1976_09,1977_09,1978_09,1979_09,1980_09,1981_09,1982_09,1983_09,1984_09,1985_09,1986_09,1987_09,1988_09,1989_09,1990_09,1991_09,1992_09,1993_09,1994_09,1995_09,1996_09,1997_09,1998_09,1999_09,2000_09,2001_09,2002_09,2003_09,2004_09,2005_09,2006_09,2007_09,2008_09,2009_09,2010_09,2011_09,2012_09,2013_09,2014_09,2015_09,2016_09,2017_09,2018_09
0,63.125624852397074,1,Piemonte,91.92766472486814,67.09256671652365,161.24145871054083,42.75979591435094,68.7101029284421,193.9440092891443,9.333127509249783,39.224029264740615,88.6677654884673,216.495197984728,20.75364579233252,24.36900732110525,151.566037550185,32.697888786113516,177.7419900810832,94.71065889947256,68.00926454380856,85.06175706526018,127.69642997717075,35.22953731402031,26.5684754585531,177.71593324411558,131.83112256947177,77.81456644099819,150.20176336298513,156.74628040620325,26.854488113044162,10.976708257891836,58.702348854601276,27.877671613004804,223.9870109422971,101.22600960403054,51.3957332913485,114.53356490592773,25.876670373140204,61.32944481618515,27.88246870817917,18.811987079823663,46.310251515390064,14.274238860899,166.15348736518933,140.39173817208533,237.27950090529797,253.69054554042353,181.989451310714,85.76383531449264,24.018091198929387,86.17872746595292,130.2485338109108,150.57469692198694,64.53823899866174,106.0452353774699,59.829198811304416,34.054389219082104,147.07001298905772,242.67139652050696,55.560576241832635,81.88869755175942,116.68504487129024,57.10278083917185,68.18441017869795,118.3518952216012,61.91086751161143,53.39767672990632,85.35554593403133,59.99378591671259,45.337587577737544,51.60620030701409
1,22.212162614854517,2,Valle d'Aosta,67.2802210949464,51.62022396630934,117.96389739663094,75.35183767228177,24.30394333843798,149.33612174578866,19.38140194295559,35.54546324655436,31.6802210949464,161.42905819295558,22.060245980091885,20.865881029862173,66.56228943338438,40.10061734303216,174.3447932618683,24.95437404287902,45.16624712863706,97.11163859111792,82.32951761102603,28.632013303981623,17.002063792113322,61.300698698315465,82.65065084226646,89.82591883614089,112.31272970903522,70.99327143950995,15.794825564701378,4.42478464777948,43.074645865237365,41.561858728943335,174.71485451761103,80.81167687595712,62.906690275650845,116.39941615620215,19.374112270290965,41.96404096477795,30.327110451761104,33.215074655436446,26.121087767993874,29.898095329249617,123.90369448698316,136.07880934150077,247.65794410413477,228.84190275650843,153.0614663093415,45.937270290964776,57.77461715160796,86.12467457886677,121.78683001531394,146.88602603369065,68.95592457886677,92.00264165390506,46.09558767228177,18.342790486217456,77.7583365237366,161.25394333843798,34.72593797856049,91.29430513016845,74.13054173047473,36.923061830015314,78.31697932618683,87.75153139356814,67.83520290964778,39.80746075803982,67.63884954058193,61.55574751148545,22.738471477794793,31.393802641653906
2,79.73742776986852,3,Lombardia,98.88196130977305,106.69508416380538,154.23561678251403,73.37568566284232,100.41602462105351,117.29635290176702,41.51328144627753,42.34896836529604,69.3846202160623,252.9054099321665,14.457401233146303,33.70268926388075,140.9868101499037,29.12256354157943,224.27947826815173,88.64724478686877,97.83079306590737,97.3689180135667,97.46806172012394,47.40993216648522,24.724517942383386,136.18081609580437,109.21233565028055,97.83409052843146,141.87240390252072,259.299891131396,46.41124591742735,17.219065352566787,127.64774725734863,22.887239866845324,206.03724562431958,86.41868352734276,75.0199784356419,122.55563813750942,35.46135949669207,58.20848861066912,64.16121974708986,41.20011148563772,74.60911460514195,42.4725211456327,151.51769114814505,141.7614207352818,253.3400259609748,264.6655430868436,168.04185160371827,59.970369943890795,19.15743028222092,142.60766476844486,149.90676032158112,90.99235826145214,109.0021250314044,99.64886734779331,33.42899464031488,56.51361904363119,109.91237124193954,118.14506741478938,106.59008876978477,102.63017125868855,86.91815488652541,137.93241772045891,105.47117075621807,131.01022736789213,58.35741876727242,44.82966774139519,110.64420902771963,49.27238610669123,127.44918767272422,34.17543285738213
3,89.58458853783982,4,Trentino-Alto Adige,73.29755235121235,116.67853600293901,105.9686535635562,68.2875505143277,103.16131520940485,87.98875826598089,40.486489713446,56.49403471711977,23.971087435709038,262.1991917707568,13.869663850110213,39.868727038941955,91.24245040411462,17.844201184790595,261.51901175606173,48.49661094783248,112.12436627479794,89.00727406318883,55.89421840558413,52.06022226304188,34.00590788023512,59.22052259368112,111.41903012490816,93.1036278471712,94.14553637031594,233.26504408523144,41.96948475385746,29.1635079904482,128.826304188097,23.812683688464364,180.16127847171197,67.14326781778104,97.24274430565761,146.91223365172667,23.578616366642176,50.826409808963994,77.98378949301984,53.030919360764145,47.76387766348273,67.83202608376195,94.16205914768553,96.78198016164585,148.84452608376193,198.24897134459957,119.78746326230713,33.49716660543718,25.15541880969875,135.05908339456283,139.54866825863337,101.40093681116826,104.83761021307862,81.05634643644379,22.779514144011756,53.17105988243938,86.44172483468039,64.67009551800147,74.86212343864806,86.23157604702425,94.66136113152093,140.79966017634092,138.56988427626746,135.07287839823658,75.55320077149155,55.914690484937545,119.28940117560617,42.53244397501837,125.92814107274063,50.56875
4,95.91743031691486,5,Veneto,103.90629602356407,79.40436644302623,108.5049159984727,42.737130447826324,141.14512082037857,102.93796705394644,59.787241586210655,37.29662698412698,44.26270932198767,170.16653030055093,15.540652443680795,31.38194785359734,120.10782468772159,38.103832569683085,237.281105111002,70.87804096438117,123.98437244313533,76.68049419080347,76.63001145475373,35.397561773850434,27.52867268041237,58.333987890688924,186.60827469590356,114.88427971417663,70.31188976163203,169.61704303714612,35.51844351715486,45.392703730976926,124.71008563792068,37.101585937926146,173.41147111765667,59.898734522445864,70.68227376861398,114.24592947144494,12.20309772677685,52.29696108111057,49.958224240440735,43.951876397752685,92.18080783286969,53.14815155730104,75.62450226367753,70.64037527955054,133.012954780996,192.45374461353842,153.19342169857634,69.21136747940872,23.7469760813833,156.99495445371733,115.71994490808923,117.00883652430045,116.87727049582719,111.73189057982873,46.62504090983472,83.06932171494027,120.93234876997764,141.0607101947308,112.41664621174931,99.29191212567501,134.19294441717122,153.45557191948944,90.45403780068729,148.15761195658104,50.8443721704031,83.19393988981618,94.75889107074674,74.3273059510173,167.74590901652758,78.24287487045218
5,118.27864089933055,6,Friuli Venezia Giulia,94.84023304281925,232.48545850701024,164.0077049387394,123.79244031830238,151.93075028419855,114.46895920171782,71.94140773020084,93.06155267146646,87.09187507894404,316.26885183781735,61.253797208538586,92.57629152456738,185.6117216117216,53.84674592648731,590.9018567639257,91.98362700517873,224.95951749400027,226.8925413666793,158.4886004799798,62.479896899077936,39.97879168245547,83.12531577617784,251.16306681823923,154.64636225843122,110.16282998610585,285.0173676897815,48.05667392951876,70.30470032840722,152.92134015409877,59.678918782367056,266.7850827333586,112.7518472906404,158.8485221674877,237.15528293545535,29.56972535366932,106.96509883794367,110.58339648856891,105.77139383604901,97.0910619552861,161.88117342427688,186.73035872173804,153.52085701654667,247.4728748263231,253.30925539977264,287.19622331691295,107.24174245294935,50.856369205507136,288.9064355185045,143.21681192370846,134.25053681950234,213.45099153719843,148.80571870658076,60.959872742200325,117.99322660098522,220.69857584943793,134.49071618037135,183.54556650246306,119.21554881899709,179.8574902109385,287.90911961601614,139.17823986358468,238.6372521157004,169.9946949602122,101.81793135025893,231.9710749021094,90.72644309713276,283.19928634583806,66.71714348869521
6,69.71991574330563,7,Liguria,82.52390350877192,145.6872922437673,213.28674976915974,31.700911819021236,78.92730840258541,163.01338873499537,15.350382329178208,47.405560364727606,98.68085180055402,229.85879501385043,74.25625577100647,37.1035520544783,185.40081948291783,52.798164819944596,266.7389889196676,104.55002308402585,89.92243767313019,134.75874884579872,176.68852723915052,10.413315876038782,29.886885387811635,184.23661126500463,120.82826638965835,123.22915512465374,107.89337488457987,214.34598337950138,35.35625577100647,10.727229772622346,116.19989612188365,28.176904432132964,181.8834025854109,93.42825484764543,41.56676477377655,109.47586565096952,22.885609995383195,59.4771525854109,42.30619228993537,23.079632675438596,76.84203601108034,28.5163608033241,230.5308864265928,211.578324099723,291.0724145891043,266.8537165281625,220.23030932594645,96.11620498614958,16.116505078485687,132.83426823638044,159.08467220683286,89.66120729455217,138.48567636195753,101.10242382271468,45.96382156048015,59.68391620498615,124.30693674976916,229.24339796860573,54.849111265004616,43.35444656048015,109.41020313942752,152.7995729455217,108.5275161588181,115.153797322253,90.12777585410896,42.87100934903047,133.21132271468144,71.7397622345337,72.98906394275161,27.65113111726685
7,67.17389173535308,8,Emilia-Romagna,115.49943194475384,69.42090666072622,80.75415460013366,27.172310091334374,101.61867899309424,49.56720873245712,42.37746435731789,36.580758520828695,95.55422143016261,113.03099799509913,24.525924482067275,22.39582590777456,145.9088772555135,40.039101136110496,106.32044998886167,98.42561817776787,62.917398084205836,43.05197427043885,77.04899198039652,13.15229310536868,39.700991312096235,175.62117398084206,225.97208732457116,77.20715081309869,51.93117620850969,113.25879928714636,65.7538928491869,31.39162118511918,112.29042102918244,27.84001169525507,176.83540877701046,54.22659835152595,25.855519046558253,91.40560815326353,12.021561038093116,48.30205502339051,35.737040543550904,26.30568890621519,149.78115393183336,46.10468088661172,77.07013811539318,45.04494040989084,89.59939852973936,203.17271107150813,96.10090220539095,136.7329472042771,22.338342336823345,106.84220316328803,86.80816440187124,42.91662396970372,113.96413455112497,108.30666072621965,53.46981510358655,76.70402650924483,92.34648585431054,139.11708621073737,62.769703720204944,33.81177043885052,69.45433281354421,80.78371574961015,45.356535419915346,118.9062263310314,45.690473936288704,87.47275562486077,59.86395633771441,54.35194920917799,104.84967698819337,38.71047003787035
8,74.11013199095416,9,Toscana,141.78203009480734,134.37211881360355,77.49768961468209,25.97265319213708,107.31280986344264,60.72364529877359,15.0898699117161,26.656850700182655,85.70958728363921,188.56114638601375,60.03038292598069,58.18284117595895,143.1881795250935,45.05581075497956,222.25191354266332,77.03671609985213,100.1065930242672,55.595726058971906,111.52798556145082,4.530038406758285,57.742438244759505,128.96128337827258,174.14240671479516,93.37741367313212,58.58018939723406,127.64461381229886,53.613616595633644,29.14166739149343,89.85161346438201,14.552119574671654,125.86903105157867,75.94337109680787,40.41526593894059,198.22762459772113,7.640038569844307,56.40002826824389,45.18012851178568,29.694056058102113,117.77117943811429,67.35255392711142,123.3148212577194,77.88003935809341,145.9920631469079,168.87349960859353,119.17186005044795,164.3381316865269,36.29939060189615,126.86028964077586,99.68042750282683,54.71102244063669,120.2964142819866,109.44947595024789,60.08379903453075,66.44618704879534,107.16479298947552,134.83097764634252,75.26160085239627,54.20420544489867,76.46229451161173,97.04108680525354,50.02721362094459,80.84021375141342,79.53638992780725,93.80328563973211,38.0925893711403,89.90458924067148,129.03384578585718,32.709606310341826
9,68.96249259478672,10,Umbria,89.48508590047393,125.77357819905214,33.50067387440758,24.66926836492891,113.95905657582938,30.028722970971565,26.408332716232227,27.70014069905213,83.06781694312797,248.30568720379148,53.3622148992891,84.4308501184834,111.73912914691942,37.663103524881514,335.9693720379147,51.61985337677725,130.57388921800947,56.459297245260665,97.11227043838862,19.914825236966823,65.64754146919431,114.1170912322275,123.79544579383887,111.52791765402844,48.06020438388626,113.56007109004739,97.98561167061611,45.51771327014218,75.64453495260663,7.526213066498816,91.51669875592417,57.10413951421801,55.753539691943125,198.25983412322276,7.136270271771327,51.877617742891,48.727147511848344,29.781681353672987,97.60320645734598,56.54438684834123,88.53859597156398,57.257701421800945,112.99012144549764,116.48319757109005,129.14289099526067,180.82325236966824,40.649348341232226,128.00273992890996,88.54894105450236,65.72590343601895,109.42984300947867,102.34549763033175,55.652280805687205,89.46541024881516,76.94919283175355,109.48096860189574,45.77488521919431,57.067639218009475,58.30903065758294,75.22875444312797,43.60189573459716,95.3746519549763,79.61148548578198,83.21923874407582,42.12566276658768,64.86087085308057,107.5766883886256,31.530816795023696
