month,Piemonte,Valle d'Aosta,Lombardia,Trentino-Alto Adige,Veneto,Friuli Venezia Giulia,Liguria,Emilia-Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1952-10-01,916630.625,55563.5546875,838187.3125,293254.53125,692155.6875,283169.78125,239895.921875,1010121.3125,1128764.0,452099.5,409714.5625,940077.5,446172.75,234361.125,771135.125,762312.375,460879.09375,752401.6875,808944.25,1148247.0
1952-11-01,234552.234375,3535.00341796875,226605.5,18817.634765625,188026.078125,64133.88671875,84834.546875,323643.78125,467236.375,166779.5625,178720.078125,376773.0625,200243.375,98007.65625,343128.53125,510477.9375,257795.078125,453100.40625,868520.375,697685.0625
1952-12-01,55215.6640625,389.4957275390625,56205.9140625,1253.3218994140625,71035.09375,30386.736328125,46312.75,102052.34375,281086.21875,102875.6875,107648.921875,269888.03125,121510.3359375,65501.6015625,258251.875,377856.59375,185780.109375,335494.34375,604263.1875,482656.625
1953-01-01,5513.38916015625,0.0,9247.6787109375,227.1376037597656,33409.89453125,12245.82421875,28922.125,14316.5986328125,121059.6796875,29489.599609375,39145.17578125,106739.546875,33302.23828125,21413.904296875,103357.6953125,189526.078125,76553.734375,152228.015625,282216.6875,250744.25
1953-02-01,80633.4375,643.6729125976562,92760.4453125,5209.53271484375,64984.515625,20199.888671875,43629.71875,86490.234375,202255.546875,62969.25,71997.6328125,162763.28125,64102.54296875,39614.359375,162548.125,243494.65625,118411.1796875,195634.265625,400511.9375,336570.0
1953-03-01,575363.125,17331.3125,554690.3125,156566.265625,402787.0,160969.21875,145618.015625,561514.5,593107.6875,196178.4375,199044.015625,403683.96875,176316.421875,92133.453125,306184.9375,438893.0,203922.4375,277277.3125,540447.5625,673956.875
1953-04-01,1152095.75,57016.921875,1168968.625,484965.71875,946176.0,388008.78125,267199.125,1231779.25,1234070.0,462123.4375,522227.5625,898468.0625,552168.25,245786.234375,730502.9375,1062977.75,536907.75,735916.9375,1364913.875,1299189.875
1953-05-01,2030624.375,175855.8125,1960649.25,911666.5625,1585983.75,660681.875,475091.875,2054927.0,2020369.0,710708.625,794767.5,1415490.75,804536.75,347548.8125,1069172.25,1457892.625,770499.5625,1109859.75,1884096.625,2004419.0
1953-06-01,2197751.5,178538.234375,2035946.5,997528.3125,1804933.75,767028.875,496971.71875,2265257.25,2199414.25,825753.375,945658.375,1675310.5,1003382.125,387013.0625,1360103.375,1146591.75,910504.75,1501788.625,2106092.5,2394611.75
1953-07-01,2546742.5,313422.375,2269370.0,1438301.5,2116690.25,953787.0,596081.5625,2463788.25,2146185.25,976309.1875,1140961.625,1558139.5,965433.25,300145.625,896069.875,551763.375,516613.8125,884027.0625,579236.5,1893921.375
1953-08-01,2081781.75,246630.59375,2069978.875,1247709.75,1656946.875,827878.6875,399875.46875,1486081.5,1296903.625,816830.0,844334.25,1275264.25,770159.6875,209748.71875,699443.9375,867585.0,499995.6875,660193.125,1630013.625,771803.6875
1953-09-01,1905086.875,204263.4375,1852997.375,916173.0625,1325772.0,608243.0625,439338.0,1310766.375,1430716.75,383608.4375,439444.125,1054766.5,303501.125,149612.65625,1060650.875,454954.65625,420488.75,591015.9375,532286.5625,470912.1875
1953-10-01,1160340.25,80780.40625,1146338.75,520138.75,960079.5,409704.5625,273252.375,1269269.125,1366305.0,497672.1875,545362.6875,1087353.125,599691.0,268488.6875,839116.6875,1245052.5,625334.0,977890.5625,1770908.25,1515038.625
1953-11-01,412763.65625,33744.5390625,354428.375,163035.328125,283792.53125,117926.53125,132491.265625,391108.25,590975.875,178696.0625,199549.1875,454890.09375,238390.59375,113029.71875,377160.40625,529057.625,267470.5,418247.0625,837463.125,904687.75
1953-12-01,250398.953125,4617.23193359375,233634.671875,31345.14453125,176567.515625,58411.1015625,95111.7734375,290065.84375,433975.53125,135067.28125,158706.34375,338853.8125,172800.03125,85288.453125,297652.65625,381454.125,205251.890625,312377.5,692239.625,709018.0625
1954-01-01,1973.4749755859373,209.87307739257807,1234.7501220703125,0.0041838348843157,0.0,0.0,18876.765625,1724.5859375,94522.015625,20436.771484375,25712.509765625,100181.7421875,26766.13671875,15133.4482421875,86913.3828125,162820.96875,61684.546875,145681.484375,307190.96875,315594.375
1954-02-01,25891.419921875,187.51341247558597,23460.171875,947.5679321289062,23537.310546875,3299.7568359375,26567.216796875,23486.06640625,135971.859375,43542.76171875,36688.87890625,160068.625,46274.609375,24382.125,121912.671875,203259.203125,86146.8515625,185720.125,379131.1875,381555.125
1954-03-01,557222.875,13622.01171875,541227.8125,110262.4375,433423.375,165871.15625,145280.78125,649831.1875,724317.4375,266685.875,285122.03125,575997.5625,299518.84375,141664.140625,446284.65625,655689.0625,311975.4375,468116.875,865743.25,885228.1875
1954-04-01,948292.125,39457.8984375,907472.1875,272064.4375,722738.1875,298418.75,221020.375,975663.25,967263.125,344879.125,380670.71875,728081.1875,400019.1875,184739.84375,568751.5,838673.625,406563.5625,591146.5625,1024125.375,1068490.375
1954-05-01,1846204.625,164809.46875,1725439.125,758243.6875,1313281.25,539413.625,399658.96875,1716953.625,1680816.375,595351.8125,668709.75,1218459.25,696937.125,310513.5,935522.625,1417856.75,673756.0625,978133.75,1769179.0,1727273.5
1954-06-01,2712091.0,274918.6875,2616303.25,1261187.875,2084996.875,853780.125,573178.1875,2593832.75,2535691.75,986761.4375,1131304.375,1800425.125,1182601.125,504083.3125,1499694.125,2078483.375,1162192.25,1451731.5,1862974.875,1695045.875
1954-07-01,2522900.0,255917.09375,2105807.25,1247230.25,1721389.5,813625.0,502896.0,1988360.25,1986315.75,879726.375,887886.625,1271956.125,876399.8125,274653.125,661748.625,543373.0625,405807.0,392197.53125,277713.1875,470611.125
1954-08-01,2151731.25,257816.671875,1999169.25,1130212.25,1623765.125,775741.0,475379.46875,1676748.0,1827116.375,664175.125,551900.9375,659334.625,421278.9375,86669.8984375,274256.9375,168903.4375,91685.1015625,139918.40625,102985.265625,275917.25
1954-09-01,1288209.125,207115.40625,1240917.375,928387.5625,957896.0,600802.875,278941.03125,815694.6875,788609.125,288910.46875,373414.0,285545.40625,296069.34375,82311.1953125,314338.25,311495.84375,152649.328125,280864.46875,285587.0,168512.78125
1954-10-01,799719.375,104198.984375,894737.0625,481445.375,634790.25,319093.65625,246981.203125,759277.875,823276.125,290132.5625,458911.53125,577680.9375,490557.0625,207282.25,631203.0,1018797.8125,505387.1875,826377.5,937146.4375,170994.078125
1954-11-01,360798.71875,14336.79296875,361567.1875,86850.40625,306827.875,110189.09375,121178.0859375,424709.15625,566312.0,188823.21875,202528.765625,449890.75,215680.9375,102099.1015625,352642.0,520846.9375,250454.640625,418291.125,856785.3125,841410.5625
1954-12-01,221739.46875,4779.4541015625,185138.859375,33918.16796875,151727.734375,64605.19921875,94357.5625,273268.75,395179.53125,122513.078125,154220.40625,276448.21875,145197.171875,73651.3125,248643.765625,375857.125,183475.203125,281454.6875,589149.0,628674.9375
1955-01-01,132325.328125,1682.278564453125,129103.6953125,7928.68798828125,128220.7734375,39909.69140625,72221.03125,198423.5,396851.875,130168.8125,133619.28125,326076.09375,153932.28125,77745.09375,278641.09375,428530.59375,192050.171875,310465.875,681205.5,647968.125
1955-02-01,157216.5,1417.7554931640625,156848.515625,8204.2529296875,146615.25,44605.87109375,66443.078125,252031.65625,376959.34375,132566.90625,159501.140625,316998.9375,167898.46875,86753.2265625,285543.6875,459713.96875,209592.3125,344708.90625,724940.3125,597352.125
1955-03-01,362563.65625,6923.234375,340231.65625,51615.15625,246536.90625,81840.015625,103485.265625,372050.34375,496579.65625,179724.4375,181511.15625,427164.8125,217579.21875,108576.375,365697.9375,553297.625,263950.125,420183.21875,841042.875,769844.9375
1955-04-01,1163871.25,58329.0,1037548.0625,322785.03125,750635.25,298633.5625,270851.65625,1059509.25,1065326.25,362881.90625,382560.125,750590.0,395112.84375,176186.40625,547856.625,746727.0625,364714.28125,542508.9375,1014902.375,1184199.25
1955-05-01,1354673.875,127472.7265625,1535587.25,750792.5625,1316181.125,540381.5,360806.875,1542323.0,1558112.5,649054.75,746484.375,1207458.0,881329.1875,367857.375,1006993.375,1559419.5,846440.0,1206916.25,2152654.25,1550062.0
1955-06-01,2122844.75,250777.03125,1873018.125,1135983.125,1575766.5,781913.125,491843.4375,1396675.75,1282844.0,650469.375,789442.4375,814569.0625,707992.5,223267.625,671539.625,773113.625,593160.8125,783236.75,1215098.375,509088.03125
