month,Piemonte,Valle d'Aosta,Lombardia,Trentino-Alto Adige,Veneto,Friuli Venezia Giulia,Liguria,Emilia-Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1953-01-01,946568.0,45357.31640625,332860.8125,162755.40625,639353.125,373287.21875,213602.140625,1748566.25,1579819.625,710130.5,1128428.0,1879232.25,1148461.5,449170.40625,1785215.375,1131743.5,694688.0,1953205.625,2870122.25,2410647.0
1953-02-01,383968.9375,85418.40625,197358.75,150283.09375,390549.46875,348719.90625,100210.328125,1287490.75,1601026.125,610621.125,962541.75,1728464.0,891349.875,310295.0,1825905.875,540420.125,867257.125,1975088.875,1516129.75,2368908.5
1953-03-01,149790.5,2190.0166015625,3618.55078125,6686.357421875,1273.5538330078125,2099.729248046875,38818.6796875,52117.1015625,77489.75,12275.55078125,220789.109375,32744.974609375,162520.671875,36985.67578125,32058.564453125,121241.984375,162109.046875,1075235.25,3195432.0,2639459.5
1953-04-01,2766330.75,227302.625,2604946.25,1111238.125,2211110.25,1028210.25,440376.84375,2459483.75,2151873.75,645850.875,665214.9375,1018022.0625,476720.8125,225800.109375,1197904.5,822967.9375,611119.1875,1079408.75,865717.4375,1066190.75
1953-05-01,1316103.0,101859.8125,841884.1875,419377.65625,1250742.0,670111.25,323776.90625,2334810.25,1459703.5,641886.3125,869086.3125,1395740.875,529291.5625,213610.046875,1008380.6875,811312.0,660818.6875,1736079.75,1693303.375,2592417.5
1953-06-01,5706182.5,586313.0,3239470.75,1796341.5,2677168.5,1691998.25,749181.625,2095448.875,2374708.0,1089102.0,1257663.75,2306818.0,1316676.25,321633.625,1147522.0,623332.5,533439.1875,1180001.0,787951.8125,2791664.5
1953-07-01,1727060.75,162873.8125,2848649.0,2130253.0,2436006.75,1299428.5,326613.71875,1170339.625,923019.3125,330075.9375,397858.59375,241419.84375,271630.5,116600.84375,57421.29296875,376695.625,120283.734375,26805.810546875,7710.07421875,1118.820556640625
1953-08-01,1775901.25,142596.03125,2295191.25,1659695.625,1769635.375,1173782.5,308289.40625,1167349.625,1034449.25,765856.9375,755896.9375,1193866.5,716819.9375,183961.640625,658470.5,888273.75,472027.21875,595171.125,1737124.125,632667.0625
1953-09-01,4096500.5,385152.125,3683455.0,1442233.375,1989220.625,1298449.0,1154947.75,1812527.0,1781981.875,282745.6875,359269.1875,1042559.9375,220543.015625,141064.28125,1274921.75,451678.125,433085.8125,594897.5,460878.875,449370.53125
1953-10-01,6887170.5,678089.375,7984975.5,3377192.0,5231104.5,2981503.5,1529581.625,4081294.75,4874730.0,984940.625,1025394.1875,3984305.0,1479840.125,518721.75,1422245.375,1693859.125,1218373.25,5992440.5,5298580.0,2992229.5
1953-11-01,256756.578125,41551.6640625,325637.9375,101830.1796875,390778.375,256149.359375,145763.640625,582580.625,761615.9375,215280.78125,679161.8125,655681.6875,990451.125,340885.96875,758750.25,1541026.5,855942.1875,2448477.0,1757113.375,1385136.0
